test_case,covered_branches
"RegressionTest2::test1268",10
"RegressionTest2::test1316",10
"RegressionTest2::test1370",10
"RegressionTest2::test1376",10
"RegressionTest0::test0060",10
"RegressionTest0::test0144",10
"RegressionTest0::test0161",10
"RegressionTest0::test0181",10
"RegressionTest0::test0236",10
"RegressionTest0::test0241",10
"RegressionTest0::test0269",10
"RegressionTest0::test0309",10
"RegressionTest0::test0340",10
"RegressionTest0::test0347",10
"RegressionTest0::test0373",10
"RegressionTest0::test0398",10
"RegressionTest0::test0426",10
"RegressionTest0::test0455",10
"FractionTest::testGoldenRatio",10
"FractionTest::testMultiply",10
"RegressionTest1::test0501",10
"RegressionTest1::test0561",10
"RegressionTest1::test0564",10
"RegressionTest1::test0567",10
"RegressionTest1::test0584",10
"RegressionTest1::test0607",10
"RegressionTest1::test0625",10
"RegressionTest1::test0668",10
"RegressionTest1::test0682",10
"RegressionTest1::test0703",10
"RegressionTest1::test0714",10
"RegressionTest1::test0760",10
"RegressionTest1::test0790",10
"RegressionTest1::test0840",10
"RegressionTest1::test0850",10
"RegressionTest1::test0872",10
"RegressionTest1::test0877",10
"RegressionTest1::test0879",10
"RegressionTest1::test0910",10
"RegressionTest1::test0913",10
"RegressionTest1::test0931",10
"RegressionTest1::test0942",10
"RegressionTest1::test0966",10
"Fraction_ESTest::test20",10
"RegressionTest2::test1194",9
"RegressionTest2::test1222",9
"RegressionTest2::test1232",9
"RegressionTest2::test1363",9
"RegressionTest2::test1415",9
"RegressionTest0::test0076",9
"RegressionTest0::test0079",9
"RegressionTest0::test0090",9
"RegressionTest0::test0101",9
"RegressionTest0::test0170",9
"RegressionTest0::test0197",9
"RegressionTest0::test0402",9
"FractionTest::testIntegerOverflow",9
"RegressionTest1::test0516",9
"RegressionTest1::test0787",9
"RegressionTest1::test0853",9
"RegressionTest1::test0858",9
"RegressionTest1::test0871",9
"RegressionTest1::test0896",9
"RegressionTest1::test0948",9
"Fraction_ESTest::test05",9
"Fraction_ESTest::test08",9
"Fraction_ESTest::test34",9
"Fraction_ESTest::test39",9
"Fraction_ESTest::test50",9
"Fraction_ESTest::test51",9
"Fraction_ESTest::test52",9
"RegressionTest2::test1059",8
"RegressionTest2::test1110",8
"RegressionTest2::test1171",8
"RegressionTest2::test1176",8
"RegressionTest2::test1177",8
"RegressionTest2::test1266",8
"RegressionTest2::test1304",8
"RegressionTest2::test1306",8
"RegressionTest2::test1314",8
"RegressionTest2::test1350",8
"RegressionTest2::test1361",8
"RegressionTest2::test1382",8
"RegressionTest2::test1405",8
"RegressionTest2::test1419",8
"RegressionTest0::test0114",8
"RegressionTest0::test0137",8
"RegressionTest0::test0146",8
"RegressionTest0::test0164",8
"RegressionTest0::test0193",8
"RegressionTest0::test0194",8
"RegressionTest0::test0202",8
"RegressionTest0::test0205",8
"RegressionTest0::test0254",8
"RegressionTest0::test0358",8
"RegressionTest0::test0390",8
"RegressionTest0::test0400",8
"RegressionTest0::test0446",8
"RegressionTest0::test0463",8
"RegressionTest0::test0469",8
"RegressionTest0::test0489",8
"RegressionTest1::test0533",8
"RegressionTest1::test0535",8
"RegressionTest1::test0601",8
"RegressionTest1::test0634",8
"RegressionTest1::test0644",8
"RegressionTest1::test0664",8
"RegressionTest1::test0671",8
"RegressionTest1::test0737",8
"RegressionTest1::test0749",8
"RegressionTest1::test0775",8
"RegressionTest1::test0779",8
"RegressionTest1::test0808",8
"RegressionTest1::test0837",8
"RegressionTest1::test0881",8
"RegressionTest1::test0925",8
"RegressionTest1::test0938",8
"RegressionTest1::test0944",8
"Fraction_ESTest::test00",8
"Fraction_ESTest::test01",8
"Fraction_ESTest::test36",8
"Fraction_ESTest::test44",8
"RegressionTest2::test1065",7
"RegressionTest2::test1115",7
"RegressionTest2::test1126",7
"RegressionTest2::test1129",7
"RegressionTest2::test1213",7
"RegressionTest2::test1320",7
"RegressionTest2::test1323",7
"RegressionTest2::test1354",7
"RegressionTest0::test0070",7
"RegressionTest0::test0089",7
"RegressionTest0::test0111",7
"RegressionTest0::test0120",7
"RegressionTest0::test0274",7
"RegressionTest0::test0355",7
"RegressionTest0::test0363",7
"RegressionTest0::test0386",7
"FractionTest::testAbs",7
"FractionTest::testEqualsAndHashCode",7
"RegressionTest1::test0511",7
"RegressionTest1::test0542",7
"RegressionTest1::test0547",7
"RegressionTest1::test0558",7
"RegressionTest1::test0571",7
"RegressionTest1::test0638",7
"RegressionTest1::test0673",7
"RegressionTest1::test0680",7
"RegressionTest1::test0717",7
"RegressionTest1::test0769",7
"RegressionTest1::test0806",7
"RegressionTest1::test0846",7
"RegressionTest1::test0898",7
"RegressionTest1::test0951",7
"RegressionTest1::test0997",7
"RegressionTest1::test0998",7
"Fraction_ESTest::test18",7
"Fraction_ESTest::test19",7
"Fraction_ESTest::test32",7
"Fraction_ESTest::test33",7
"Fraction_ESTest::test37",7
"RegressionTest2::test1005",6
"RegressionTest2::test1011",6
"RegressionTest2::test1017",6
"RegressionTest2::test1018",6
"RegressionTest2::test1022",6
"RegressionTest2::test1029",6
"RegressionTest2::test1055",6
"RegressionTest2::test1066",6
"RegressionTest2::test1069",6
"RegressionTest2::test1073",6
"RegressionTest2::test1078",6
"RegressionTest2::test1086",6
"RegressionTest2::test1096",6
"RegressionTest2::test1102",6
"RegressionTest2::test1121",6
"RegressionTest2::test1123",6
"RegressionTest2::test1137",6
"RegressionTest2::test1145",6
"RegressionTest2::test1151",6
"RegressionTest2::test1153",6
"RegressionTest2::test1158",6
"RegressionTest2::test1167",6
"RegressionTest2::test1184",6
"RegressionTest2::test1187",6
"RegressionTest2::test1190",6
"RegressionTest2::test1203",6
"RegressionTest2::test1231",6
"RegressionTest2::test1243",6
"RegressionTest2::test1247",6
"RegressionTest2::test1258",6
"RegressionTest2::test1270",6
"RegressionTest2::test1273",6
"RegressionTest2::test1286",6
"RegressionTest2::test1290",6
"RegressionTest2::test1291",6
"RegressionTest2::test1293",6
"RegressionTest2::test1294",6
"RegressionTest2::test1308",6
"RegressionTest2::test1326",6
"RegressionTest2::test1328",6
"RegressionTest2::test1332",6
"RegressionTest2::test1333",6
"RegressionTest2::test1335",6
"RegressionTest2::test1337",6
"RegressionTest2::test1342",6
"RegressionTest2::test1377",6
"RegressionTest2::test1397",6
"RegressionTest2::test1402",6
"RegressionTest2::test1410",6
"RegressionTest2::test1425",6
"RegressionTest0::test0058",6
"RegressionTest0::test0088",6
"RegressionTest0::test0095",6
"RegressionTest0::test0105",6
"RegressionTest0::test0106",6
"RegressionTest0::test0117",6
"RegressionTest0::test0129",6
"RegressionTest0::test0175",6
"RegressionTest0::test0178",6
"RegressionTest0::test0207",6
"RegressionTest0::test0221",6
"RegressionTest0::test0230",6
"RegressionTest0::test0245",6
"RegressionTest0::test0252",6
"RegressionTest0::test0263",6
"RegressionTest0::test0294",6
"RegressionTest0::test0306",6
"RegressionTest0::test0320",6
"RegressionTest0::test0368",6
"RegressionTest0::test0387",6
"RegressionTest0::test0407",6
"RegressionTest0::test0414",6
"RegressionTest0::test0449",6
"RegressionTest0::test0451",6
"RegressionTest0::test0460",6
"RegressionTest0::test0484",6
"RegressionTest0::test0486",6
"FractionTest::testToString",6
"FractionFormatTest::testLongFormat",6
"RegressionTest1::test0512",6
"RegressionTest1::test0522",6
"RegressionTest1::test0531",6
"RegressionTest1::test0545",6
"RegressionTest1::test0552",6
"RegressionTest1::test0614",6
"RegressionTest1::test0620",6
"RegressionTest1::test0632",6
"RegressionTest1::test0633",6
"RegressionTest1::test0647",6
"RegressionTest1::test0665",6
"RegressionTest1::test0667",6
"RegressionTest1::test0674",6
"RegressionTest1::test0684",6
"RegressionTest1::test0685",6
"RegressionTest1::test0695",6
"RegressionTest1::test0702",6
"RegressionTest1::test0706",6
"RegressionTest1::test0711",6
"RegressionTest1::test0728",6
"RegressionTest1::test0734",6
"RegressionTest1::test0735",6
"RegressionTest1::test0736",6
"RegressionTest1::test0771",6
"RegressionTest1::test0776",6
"RegressionTest1::test0786",6
"RegressionTest1::test0793",6
"RegressionTest1::test0800",6
"RegressionTest1::test0802",6
"RegressionTest1::test0819",6
"RegressionTest1::test0824",6
"RegressionTest1::test0832",6
"RegressionTest1::test0862",6
"RegressionTest1::test0874",6
"RegressionTest1::test0899",6
"RegressionTest1::test0915",6
"RegressionTest1::test0927",6
"RegressionTest1::test0949",6
"RegressionTest1::test0961",6
"RegressionTest1::test0962",6
"RegressionTest1::test0971",6
"RegressionTest1::test0972",6
"RegressionTest1::test0974",6
"RegressionTest1::test0985",6
"RegressionTest1::test0993",6
"Fraction_ESTest::test25",6
"Fraction_ESTest::test31",6
"Fraction_ESTest::test45",6
"Fraction_ESTest::test47",6
"Fraction_ESTest::test49",6
"Fraction_ESTest::test53",6
"RegressionTest2::test1021",5
"RegressionTest2::test1050",5
"RegressionTest2::test1063",5
"RegressionTest2::test1104",5
"RegressionTest2::test1112",5
"RegressionTest2::test1131",5
"RegressionTest2::test1186",5
"RegressionTest2::test1200",5
"RegressionTest2::test1224",5
"RegressionTest2::test1225",5
"RegressionTest2::test1245",5
"RegressionTest2::test1254",5
"RegressionTest2::test1264",5
"RegressionTest2::test1269",5
"RegressionTest2::test1289",5
"RegressionTest2::test1299",5
"RegressionTest2::test1310",5
"RegressionTest2::test1348",5
"RegressionTest2::test1375",5
"RegressionTest2::test1379",5
"RegressionTest2::test1380",5
"RegressionTest2::test1399",5
"RegressionTest2::test1406",5
"RegressionTest2::test1409",5
"RegressionTest2::test1412",5
"RegressionTest2::test1421",5
"RegressionTest2::test1422",5
"RegressionTest0::test0003",5
"RegressionTest0::test0012",5
"RegressionTest0::test0055",5
"RegressionTest0::test0119",5
"RegressionTest0::test0126",5
"RegressionTest0::test0136",5
"RegressionTest0::test0153",5
"RegressionTest0::test0173",5
"RegressionTest0::test0180",5
"RegressionTest0::test0190",5
"RegressionTest0::test0266",5
"RegressionTest0::test0315",5
"RegressionTest0::test0376",5
"RegressionTest0::test0405",5
"RegressionTest0::test0500",5
"FractionTest::testCompareTo",5
"FractionTest::testReciprocal",5
"FractionTest::testNegate",5
"FractionFormatTest::testParseNegative",5
"FractionFieldTest::testZero",5
"FractionFieldTest::testOne",5
"RegressionTest1::test0509",5
"RegressionTest1::test0520",5
"RegressionTest1::test0525",5
"RegressionTest1::test0536",5
"RegressionTest1::test0562",5
"RegressionTest1::test0574",5
"RegressionTest1::test0587",5
"RegressionTest1::test0626",5
"RegressionTest1::test0683",5
"RegressionTest1::test0708",5
"RegressionTest1::test0710",5
"RegressionTest1::test0811",5
"RegressionTest1::test0825",5
"RegressionTest1::test0841",5
"RegressionTest1::test0845",5
"RegressionTest1::test0856",5
"RegressionTest1::test0894",5
"RegressionTest1::test0909",5
"RegressionTest1::test0914",5
"RegressionTest1::test0924",5
"RegressionTest1::test0984",5
"RegressionTest1::test0986",5
"Fraction_ESTest::test04",5
"Fraction_ESTest::test17",5
"Fraction_ESTest::test23",5
"Fraction_ESTest::test24",5
"Fraction_ESTest::test26",5
"Fraction_ESTest::test27",5
"Fraction_ESTest::test28",5
"Fraction_ESTest::test29",5
"Fraction_ESTest::test30",5
"Fraction_ESTest::test35",5
"Fraction_ESTest::test43",5
"Fraction_ESTest::test46",5
"Fraction_ESTest::test48",5
"Fraction_ESTest::test54",5
"RegressionTest2::test1001",4
"RegressionTest2::test1006",4
"RegressionTest2::test1031",4
"RegressionTest2::test1044",4
"RegressionTest2::test1052",4
"RegressionTest2::test1061",4
"RegressionTest2::test1071",4
"RegressionTest2::test1116",4
"RegressionTest2::test1165",4
"RegressionTest2::test1169",4
"RegressionTest2::test1174",4
"RegressionTest2::test1185",4
"RegressionTest2::test1196",4
"RegressionTest2::test1197",4
"RegressionTest2::test1206",4
"RegressionTest2::test1215",4
"RegressionTest2::test1238",4
"RegressionTest2::test1251",4
"RegressionTest2::test1252",4
"RegressionTest2::test1279",4
"RegressionTest2::test1287",4
"RegressionTest2::test1292",4
"RegressionTest2::test1297",4
"RegressionTest2::test1312",4
"RegressionTest2::test1344",4
"RegressionTest2::test1356",4
"RegressionTest2::test1359",4
"RegressionTest2::test1368",4
"RegressionTest2::test1404",4
"RegressionTest2::test1413",4
"RegressionTest0::test0006",4
"RegressionTest0::test0016",4
"RegressionTest0::test0018",4
"RegressionTest0::test0029",4
"RegressionTest0::test0034",4
"RegressionTest0::test0036",4
"RegressionTest0::test0046",4
"RegressionTest0::test0082",4
"RegressionTest0::test0093",4
"RegressionTest0::test0099",4
"RegressionTest0::test0109",4
"RegressionTest0::test0124",4
"RegressionTest0::test0149",4
"RegressionTest0::test0168",4
"RegressionTest0::test0189",4
"RegressionTest0::test0214",4
"RegressionTest0::test0219",4
"RegressionTest0::test0223",4
"RegressionTest0::test0224",4
"RegressionTest0::test0256",4
"RegressionTest0::test0271",4
"RegressionTest0::test0278",4
"RegressionTest0::test0280",4
"RegressionTest0::test0281",4
"RegressionTest0::test0284",4
"RegressionTest0::test0288",4
"RegressionTest0::test0305",4
"RegressionTest0::test0314",4
"RegressionTest0::test0318",4
"RegressionTest0::test0325",4
"RegressionTest0::test0331",4
"RegressionTest0::test0341",4
"RegressionTest0::test0371",4
"RegressionTest0::test0374",4
"RegressionTest0::test0397",4
"RegressionTest0::test0409",4
"RegressionTest0::test0412",4
"RegressionTest0::test0413",4
"RegressionTest0::test0418",4
"RegressionTest0::test0428",4
"RegressionTest0::test0434",4
"RegressionTest0::test0458",4
"RegressionTest0::test0474",4
"RegressionTest0::test0494",4
"FractionTest::testDoubleValue",4
"FractionTest::testFloatValue",4
"FractionTest::testIntValue",4
"FractionTest::testLongValue",4
"FractionTest::testPercentage",4
"FractionTest::testMath835",4
"FractionFormatTest::testFormat",4
"FractionFormatTest::testFormatNegative",4
"FractionFormatTest::testFormatZero",4
"FractionFormatTest::testFormatImproper",4
"FractionFormatTest::testFormatImproperNegative",4
"FractionFormatTest::testParse",4
"FractionFormatTest::testParseInteger",4
"FractionFormatTest::testParseOne1",4
"FractionFormatTest::testParseOne2",4
"FractionFormatTest::testParseZero1",4
"FractionFormatTest::testParseZero2",4
"FractionFormatTest::testParseProper",4
"FractionFormatTest::testParseProperNegative",4
"RegressionTest1::test0507",4
"RegressionTest1::test0529",4
"RegressionTest1::test0569",4
"RegressionTest1::test0580",4
"RegressionTest1::test0602",4
"RegressionTest1::test0606",4
"RegressionTest1::test0611",4
"RegressionTest1::test0637",4
"RegressionTest1::test0646",4
"RegressionTest1::test0654",4
"RegressionTest1::test0661",4
"RegressionTest1::test0669",4
"RegressionTest1::test0678",4
"RegressionTest1::test0687",4
"RegressionTest1::test0693",4
"RegressionTest1::test0697",4
"RegressionTest1::test0700",4
"RegressionTest1::test0720",4
"RegressionTest1::test0741",4
"RegressionTest1::test0754",4
"RegressionTest1::test0756",4
"RegressionTest1::test0784",4
"RegressionTest1::test0788",4
"RegressionTest1::test0795",4
"RegressionTest1::test0839",4
"RegressionTest1::test0864",4
"RegressionTest1::test0868",4
"RegressionTest1::test0892",4
"RegressionTest1::test0902",4
"RegressionTest1::test0904",4
"RegressionTest1::test0917",4
"RegressionTest1::test0935",4
"RegressionTest1::test0982",4
"RegressionTest1::test0988",4
"RegressionTest1::test0990",4
"RegressionTest1::test0992",4
"RegressionTest1::test0999",4
"Fraction_ESTest::test02",4
"Fraction_ESTest::test03",4
"Fraction_ESTest::test06",4
"Fraction_ESTest::test07",4
"Fraction_ESTest::test09",4
"Fraction_ESTest::test10",4
"Fraction_ESTest::test11",4
"Fraction_ESTest::test12",4
"Fraction_ESTest::test13",4
"Fraction_ESTest::test14",4
"Fraction_ESTest::test15",4
"Fraction_ESTest::test22",4
"ContinuedFractionTest::testGoldenRatio",0
"RegressionTest2::test1004",0
"RegressionTest2::test1007",0
"RegressionTest2::test1008",0
"RegressionTest2::test1010",0
"RegressionTest2::test1012",0
"RegressionTest2::test1013",0
"RegressionTest2::test1015",0
"RegressionTest2::test1019",0
"RegressionTest2::test1023",0
"RegressionTest2::test1026",0
"RegressionTest2::test1028",0
"RegressionTest2::test1030",0
"RegressionTest2::test1033",0
"RegressionTest2::test1035",0
"RegressionTest2::test1038",0
"RegressionTest2::test1040",0
"RegressionTest2::test1041",0
"RegressionTest2::test1043",0
"RegressionTest2::test1045",0
"RegressionTest2::test1047",0
"RegressionTest2::test1049",0
"RegressionTest2::test1051",0
"RegressionTest2::test1054",0
"RegressionTest2::test1056",0
"RegressionTest2::test1058",0
"RegressionTest2::test1060",0
"RegressionTest2::test1062",0
"RegressionTest2::test1064",0
"RegressionTest2::test1067",0
"RegressionTest2::test1068",0
"RegressionTest2::test1070",0
"RegressionTest2::test1074",0
"RegressionTest2::test1076",0
"RegressionTest2::test1079",0
"RegressionTest2::test1080",0
"RegressionTest2::test1084",0
"RegressionTest2::test1087",0
"RegressionTest2::test1089",0
"RegressionTest2::test1091",0
"RegressionTest2::test1093",0
"RegressionTest2::test1094",0
"RegressionTest2::test1097",0
"RegressionTest2::test1100",0
"RegressionTest2::test1103",0
"RegressionTest2::test1105",0
"RegressionTest2::test1106",0
"RegressionTest2::test1111",0
"RegressionTest2::test1113",0
"RegressionTest2::test1118",0
"RegressionTest2::test1120",0
"RegressionTest2::test1122",0
"RegressionTest2::test1124",0
"RegressionTest2::test1127",0
"RegressionTest2::test1128",0
"RegressionTest2::test1130",0
"RegressionTest2::test1132",0
"RegressionTest2::test1134",0
"RegressionTest2::test1136",0
"RegressionTest2::test1138",0
"RegressionTest2::test1140",0
"RegressionTest2::test1142",0
"RegressionTest2::test1144",0
"RegressionTest2::test1146",0
"RegressionTest2::test1148",0
"RegressionTest2::test1150",0
"RegressionTest2::test1152",0
"RegressionTest2::test1155",0
"RegressionTest2::test1157",0
"RegressionTest2::test1159",0
"RegressionTest2::test1161",0
"RegressionTest2::test1162",0
"RegressionTest2::test1168",0
"RegressionTest2::test1170",0
"RegressionTest2::test1173",0
"RegressionTest2::test1175",0
"RegressionTest2::test1178",0
"RegressionTest2::test1180",0
"RegressionTest2::test1182",0
"RegressionTest2::test1189",0
"RegressionTest2::test1191",0
"RegressionTest2::test1193",0
"RegressionTest2::test1195",0
"RegressionTest2::test1198",0
"RegressionTest2::test1201",0
"RegressionTest2::test1204",0
"RegressionTest2::test1207",0
"RegressionTest2::test1212",0
"RegressionTest2::test1214",0
"RegressionTest2::test1216",0
"RegressionTest2::test1219",0
"RegressionTest2::test1221",0
"RegressionTest2::test1223",0
"RegressionTest2::test1226",0
"RegressionTest2::test1228",0
"RegressionTest2::test1233",0
"RegressionTest2::test1237",0
"RegressionTest2::test1240",0
"RegressionTest2::test1242",0
"RegressionTest2::test1244",0
"RegressionTest2::test1246",0
"RegressionTest2::test1248",0
"RegressionTest2::test1250",0
"RegressionTest2::test1253",0
"RegressionTest2::test1255",0
"RegressionTest2::test1257",0
"RegressionTest2::test1261",0
"RegressionTest2::test1263",0
"RegressionTest2::test1265",0
"RegressionTest2::test1267",0
"RegressionTest2::test1272",0
"RegressionTest2::test1274",0
"RegressionTest2::test1276",0
